   1000				0.6
   2000				0.8
   3000				1.2
   4000				1.6
   5000				2.0
   6000				2.3
   7000				2.6
   8000				2.7
   9000				2.9
   10000			3.1
   11000			3.3
   12000			3.3
   13000			3.5
   14000			3.6
   15000			3.7
   16000			3.8
   17000			3.9
   18000			4.0
   19000			4.1
   20000			4.2
   22000			4.3
   24000			4.4
   26000			4.5
   28000			4.7
   30000			4.7
   32000			4.8
   34000			4.9
   36000			4.9
   38000			5.0
   40000			5.1
   42000			5.1
   44000			5.2
   46000			5.2
   48000			5.2
   50000			5.2
   60000			5.4
   70000			5.5
   80000			5.6
   90000			5.7
   100000			5.7
   200000			6.0
   300000			6.1
   400000			6.1
   500000			6.2
   600000			6.2
   700000			6.2
   800000			6.2
   900000			6.2
   1000000			6.2
   2000000			6.2
   3000000			6.2
   4000000			6.2
   5000000			6.2
   6000000			6.3
   7000000			6.3
   8000000			6.3
   9000000			6.3
   10000000			6.3
   11000000			6.3
   12000000			6.3
   13000000			6.3
   14000000			6.3
   15000000			6.3
   16000000			6.3
   18000000			6.3
   20000000			6.3
   22000000			6.3
   24000000			6.3
   26000000			6.3
   28000000			6.3
   30000000			6.3
   32000000			6.3
   36000000			6.3
   40000000			6.3
   44000000			6.3
   48000000			6.3
   52000000			6.3
   56000000			6.3
   60000000			6.3
   64000000			6.3
   68000000			6.3
