   1000				0.5
   2000				1.0
   3000				1.5
   4000				2.2
   5000				2.6
   6000				3.1
   7000				3.4
   8000				3.6
   9000				3.8
   10000			4.0
   11000			4.1
   12000			4.3
   13000			4.4
   14000			4.5
   15000			4.6
   16000			4.7
   17000			4.8
   18000			4.8
   19000			4.9
   20000			5.0
   22000			5.1
   24000			5.2
   26000			5.4
   28000			5.5
   30000			5.5
   32000			5.6
   34000			5.7
   36000			5.7
   38000			5.7
   40000			5.8
   42000			5.8
   44000			5.9
   46000			5.9
   48000			5.9
   50000			5.9
   60000			6.1
   70000			6.2
   80000			6.2
   90000			6.3
   100000			6.3
   200000			6.5
   300000			6.5
   400000			6.6
   500000			6.6
   600000			6.6
   700000			6.6
   800000			6.6
   900000			6.7
   1000000			6.6
   2000000			6.7
   3000000			6.7
   4000000			6.7
   5000000			6.7
   6000000			6.7
   7000000			6.7
   8000000			6.7
   9000000			6.7
   10000000			6.7
   11000000			6.7
   12000000			6.7
   13000000			6.7
   14000000			6.7
   15000000			6.7
   16000000			6.7
   18000000			6.7
   20000000			6.7
   22000000			6.7
   24000000			6.7
   26000000			6.7
   28000000			6.7
   30000000			6.7
   32000000			6.7
   36000000			6.7
   40000000			6.7
   44000000			6.7
   48000000			6.7
   52000000			6.7
   56000000			6.7
   60000000			6.7
   64000000			6.7
   68000000			6.7
